id;exp_pht;exp_rat;exp_rev;Популярность
613;0,000931099;0;0;0,000931099
614;0,027932961;0;0;0,027932961
615;0,022346369;0;0;0,022346369
616;0,013966480;0;0;0,013966480
617;0,016759777;0,4;0,000442968;0,417202744
618;0,729981378;0,66;0,068217054;1,458198432
619;0,031657356;0,64;0,001107420;0,672764775
620;0,005586592;0,5;0,000221484;0,505808076
879;0,003724395;0;0;0,003724395
621;0;0;0;0
622;0,333333333;0,82;0,044075305;1,197408638
623;0,001862197;0;0;0,001862197
624;0;0;0;0
625;0,002793296;0;0;0,002793296
626;0,002793296;0;0;0,002793296
627;0,003724395;0,5;0,000442968;0,504167363
880;0;0;0;0
628;0,005586592;0;0;0,005586592
629;0;0;0;0
630;0,018621974;0,18;0,002657807;0,201279781
631;0,000931099;0;0,000221484;0,001152583
632;0;0;0;0
633;0,001862197;0;0,000221484;0,002083681
634;0,000931099;0;0;0,000931099
635;0;0;0;0
636;0,969273743;0,74;0,888150609;2,597424352
881;0,015828678;0,94;0,133776301;1,089604979
637;0,001862197;0,76;0,006201550;0,768063748
638;0,001862197;0,82;0,011960133;0,833822330
639;0;0,6;0,001993355;0,601993355
640;0,227188082;0,88;0,116057586;1,223245668
641;0,191806331;0,94;0,042524917;1,174331248
642;0,570763501;0,8;0,204651163;1,575414664
643;0,237430168;0,96;0,063565891;1,260996059
644;0,312849162;0,94;0,253156146;1,506005308
645;0,071694600;0,9;0,032336656;1,004031255
646;0,047486034;0,88;0,029014396;0,956500430
647;0,024208566;0,88;0,005537099;0,909745665
648;0,030726257;0,86;0,006423034;0,897149291
649;0,141527002;0,88;0,203543743;1,225070745
650;0,644320298;0,98;1;2,624320298
651;0,796089385;0,88;0,326910299;2,002999684
652;0,235567970;0,86;0,350830565;1,446398535
653;0,153631285;0,76;0,240753045;1,154384330
654;0,357541899;0,86;0,231672204;1,449214103
655;0,458100559;0,86;0,217054264;1,535154822
656;0,013966480;0,9;0,017054264;0,931020744
657;0,135009311;0,82;0,052048726;1,007058037
658;0,125698324;0,94;0,025027685;1,090726010
659;0,359404097;0,84;0,148615725;1,348019822
660;0,221601490;0,86;0,089922481;1,171523970
661;0,169459963;0,82;0,112956811;1,102416773
662;0,043761639;0,94;0,129125138;1,112886777
663;0,027932961;0,76;0,054706534;0,842639495
664;0,100558659;0,8;0,180287929;1,080846588
665;0,165735568;0,88;0,184053156;1,229788724
666;0,082867784;0,7;0,074640089;0,857507873
667;0,220670391;0,8;0,179623477;1,200293868
668;0,079143389;0,76;0,043410853;0,882554242
669;0,281191806;0,76;0,069545958;1,110737764
670;0,246741155;0,88;0,192248062;1,318989217
671;0,441340782;0,86;0,114285714;1,415626496
672;0,047486034;0,94;0,112735327;1,100221360
673;0,066108007;0,86;0,040753045;0,966861053
674;0,202048417;0,86;0,143964563;1,206012980
675;0,326815642;0,82;0,205537099;1,352352741
676;0,043761639;0,9;0,031007752;0,974769391
677;0,164804469;0,84;0,083720930;1,088525400
678;0,193668529;0,78;0,041196013;1,014864542
679;0,114525140;0,8;0,098781838;1,013306978
680;0,216014898;0,88;0,123588040;1,219602937
681;0,040968343;0,86;0,021040975;0,922009317
682;0,244878957;0,84;0,131782946;1,216661903
683;0,043761639;0,76;0,022148394;0,825910033
684;0,120111732;0,8;0,165448505;1,085560237
685;0,016759777;0,86;0,069988926;0,946748702
686;0,172253259;0,8;0,092137320;1,064390579
687;0,215083799;0,96;0,042303433;1,217387232
688;0,124767225;0,8;0,106312292;1,031079518
